SUB_ID,cohort,model_name,output_type,F1
MRS_0_0,MRi-Share,ishare_only,Cluster,0.5833333333333334
MRS_0_1,MRi-Share,ishare_only,Cluster,0.5
MRS_0_2,MRi-Share,ishare_only,Cluster,0.6666666666666666
MRS_0_3,MRi-Share,ishare_only,Cluster,0.4347826086956521
MRS_0_4,MRi-Share,ishare_only,Cluster,0.6666666666666666
MRS_0_5,MRi-Share,ishare_only,Cluster,0.6666666666666666
MRS_0_6,MRi-Share,ishare_only,Cluster,0.5789473684210527
MRS_0_7,MRi-Share,ishare_only,Cluster,0.3333333333333333
MRS_0_0,MRi-Share,ishare_only,Voxel,0.3851590106007067
MRS_0_1,MRi-Share,ishare_only,Voxel,0.3703703703703703
MRS_0_2,MRi-Share,ishare_only,Voxel,0.7441860465116279
MRS_0_3,MRi-Share,ishare_only,Voxel,0.6485623003194888
MRS_0_4,MRi-Share,ishare_only,Voxel,0.4583333333333333
MRS_0_5,MRi-Share,ishare_only,Voxel,0.5167118337850045
MRS_0_6,MRi-Share,ishare_only,Voxel,0.4
MRS_0_7,MRi-Share,ishare_only,Voxel,0.4333333333333333
MRS_1_0,MRi-Share,ishare_only,Cluster,0.68
MRS_1_1,MRi-Share,ishare_only,Cluster,0
MRS_1_2,MRi-Share,ishare_only,Cluster,0.4
MRS_1_3,MRi-Share,ishare_only,Cluster,0.6666666666666666
MRS_1_4,MRi-Share,ishare_only,Cluster,0.8333333333333334
MRS_1_5,MRi-Share,ishare_only,Cluster,0.5
MRS_1_6,MRi-Share,ishare_only,Cluster,0.3333333333333333
MRS_1_7,MRi-Share,ishare_only,Cluster,0.5
MRS_1_0,MRi-Share,ishare_only,Voxel,0.5743034055727554
MRS_1_1,MRi-Share,ishare_only,Voxel,0
MRS_1_2,MRi-Share,ishare_only,Voxel,0.6727272727272727
MRS_1_3,MRi-Share,ishare_only,Voxel,0.1379310344827586
MRS_1_4,MRi-Share,ishare_only,Voxel,0.6741573033707865
MRS_1_5,MRi-Share,ishare_only,Voxel,0.4761904761904761
MRS_1_6,MRi-Share,ishare_only,Voxel,0.4885844748858447
MRS_1_7,MRi-Share,ishare_only,Voxel,0.4675324675324675
MRS_2_0,MRi-Share,ishare_only,Cluster,0.4
MRS_2_1,MRi-Share,ishare_only,Cluster,0.3636363636363636
MRS_2_2,MRi-Share,ishare_only,Cluster,0.5652173913043478
MRS_2_3,MRi-Share,ishare_only,Cluster,0.6666666666666666
MRS_2_4,MRi-Share,ishare_only,Cluster,0.5
MRS_2_5,MRi-Share,ishare_only,Cluster,0
MRS_2_6,MRi-Share,ishare_only,Cluster,0.5
MRS_2_7,MRi-Share,ishare_only,Cluster,0.5
MRS_2_0,MRi-Share,ishare_only,Voxel,0.6666666666666666
MRS_2_1,MRi-Share,ishare_only,Voxel,0.273972602739726
MRS_2_2,MRi-Share,ishare_only,Voxel,0.4765100671140939
MRS_2_3,MRi-Share,ishare_only,Voxel,0.5194805194805194
MRS_2_4,MRi-Share,ishare_only,Voxel,0.3587628865979381
MRS_2_5,MRi-Share,ishare_only,Voxel,0
MRS_2_6,MRi-Share,ishare_only,Voxel,0.6255144032921811
MRS_2_7,MRi-Share,ishare_only,Voxel,0.5851063829787234
MRS_3_0,MRi-Share,ishare_only,Cluster,0.6666666666666666
MRS_3_1,MRi-Share,ishare_only,Cluster,0.631578947368421
MRS_3_2,MRi-Share,ishare_only,Cluster,0.6956521739130435
MRS_3_3,MRi-Share,ishare_only,Cluster,0.46875
MRS_3_4,MRi-Share,ishare_only,Cluster,0
MRS_3_5,MRi-Share,ishare_only,Cluster,0.5
MRS_3_6,MRi-Share,ishare_only,Cluster,0.5714285714285714
MRS_3_7,MRi-Share,ishare_only,Cluster,0.7272727272727273
MRS_3_0,MRi-Share,ishare_only,Voxel,0.6024096385542169
MRS_3_1,MRi-Share,ishare_only,Voxel,0.2822822822822823
MRS_3_2,MRi-Share,ishare_only,Voxel,0.5787781350482315
